key,author,created,field,fromString,toString
0002789,08074,2015-03-25,appointment_time,14:30:00,15:45:00
0024468,02132,2017-02-27,appointment_time,10:15:00,08:00:00
0103471,07304,2024-03-15,appointment_time,09:45:00,10:15:00
0022826,06729,2017-01-05,appointment_time,12:30:00,08:45:00
0028790,08856,2017-07-18,appointment_time,15:15:00,12:15:00
0035124,01740,2018-02-09,appointment_time,14:45:00,11:45:00
0105778,00458,2024-05-29,appointment_time,10:45:00,11:30:00
0003481,03738,2015-04-17,appointment_time,11:30:00,11:00:00
0016862,03207,2016-06-25,appointment_time,12:45:00,15:30:00
0090543,07443,2023-01-21,appointment_time,10:00:00,14:15:00
0052218,02532,2019-08-22,appointment_time,15:30:00,12:00:00
0051784,05513,2019-08-07,appointment_time,09:30:00,08:45:00
0078990,05513,2022-01-09,appointment_time,11:45:00,17:15:00
0103906,05118,2024-03-30,appointment_time,08:00:00,15:00:00
0017738,05818,2016-07-24,appointment_time,10:30:00,11:00:00
0022436,09371,2016-12-24,appointment_time,08:15:00,12:00:00
0002333,06451,2015-03-11,appointment_time,11:30:00,10:15:00
0038647,04398,2018-06-05,appointment_time,11:45:00,10:30:00
0110463,00471,2024-10-27,appointment_time,14:45:00,09:45:00
0027157,04416,2017-05-26,appointment_time,08:30:00,12:45:00
0037782,03289,2018-05-06,appointment_time,10:15:00,17:45:00
0014642,00326,2016-04-13,appointment_time,13:00:00,15:00:00
0024051,07535,2017-02-14,appointment_time,15:00:00,15:45:00
0085171,07535,2022-07-30,appointment_time,11:45:00,17:30:00
0021681,06350,2016-11-29,appointment_time,10:15:00,11:00:00
0024594,03843,2017-03-03,appointment_time,11:45:00,10:45:00
0069036,06280,2021-02-18,appointment_time,09:00:00,08:15:00
0001045,08621,2015-01-27,appointment_time,08:00:00,10:15:00
0001227,06444,2015-02-02,appointment_time,10:00:00,15:30:00
0024034,05008,2017-02-13,appointment_time,13:45:00,11:30:00
0046711,01536,2019-02-23,appointment_time,08:15:00,09:15:00
0025130,09450,2017-03-20,appointment_time,12:45:00,13:30:00
0073262,03849,2021-07-05,appointment_time,15:45:00,12:30:00
0081122,08843,2022-03-20,appointment_time,11:15:00,10:15:00
0024914,02407,2017-03-14,appointment_time,13:30:00,12:15:00
0052603,02865,2019-09-03,appointment_time,08:45:00,11:00:00
0027899,06131,2017-06-19,appointment_time,09:00:00,16:00:00
0015929,07089,2016-05-25,appointment_time,12:00:00,10:30:00
0029990,06803,2017-08-27,appointment_time,17:00:00,13:15:00
0048110,03352,2019-04-09,appointment_time,12:45:00,08:30:00
0089198,03352,2022-12-07,appointment_time,17:30:00,10:30:00
0078454,05187,2021-12-22,appointment_time,15:45:00,10:00:00
0086581,04578,2022-09-13,appointment_time,12:00:00,15:30:00
0044454,03707,2018-12-11,appointment_time,11:00:00,08:30:00
0011594,01491,2016-01-06,appointment_time,17:15:00,09:00:00
0015315,06782,2016-05-05,appointment_time,08:15:00,14:45:00
0056382,03931,2020-01-04,appointment_time,16:30:00,13:30:00
0002100,08711,2015-03-03,appointment_time,10:00:00,10:15:00
0096717,02593,2023-08-09,appointment_time,09:15:00,15:15:00
0017867,01674,2016-07-28,appointment_time,10:00:00,08:30:00
0005374,00304,2015-06-17,appointment_time,14:30:00,16:30:00
0015055,00965,2016-04-27,appointment_time,10:45:00,14:15:00
0000673,02545,2015-01-14,appointment_time,10:15:00,12:00:00
0041612,08067,2018-09-09,appointment_time,12:30:00,10:15:00
0088547,06771,2022-11-16,appointment_time,15:30:00,12:15:00
0004548,01425,2015-05-22,appointment_time,14:30:00,13:30:00
0016871,06453,2016-06-25,appointment_time,14:30:00,10:45:00
0005952,00191,2015-07-06,appointment_time,13:30:00,10:00:00
0004517,03405,2015-05-21,appointment_time,13:15:00,11:30:00
0052205,04045,2019-08-21,appointment_time,16:00:00,08:30:00
0025353,08189,2017-03-28,appointment_time,12:00:00,09:00:00
0079466,05006,2022-01-24,appointment_time,15:15:00,17:45:00
0099515,05006,2023-11-08,appointment_time,17:30:00,11:15:00
0003977,07744,2015-05-03,appointment_time,14:30:00,08:00:00
0019795,00142,2016-09-28,appointment_time,09:15:00,17:45:00
0028347,07601,2017-07-04,appointment_time,16:30:00,08:00:00
0066471,02236,2020-11-27,appointment_time,15:00:00,12:30:00
0004523,07040,2015-05-21,appointment_time,11:15:00,14:00:00
0002635,02239,2015-03-20,appointment_time,15:00:00,13:00:00
0099821,02276,2023-11-18,appointment_time,14:30:00,08:00:00
